path	category	name	frequency_hz	preset	protocol
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,42,26_SubGHz.sub	Weather Stations	2024-03-31_15,42,26_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,34,37_SubGHz.sub	Weather Stations	2024-03-31_16,34,37_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,45,32_SubGHz.sub	Weather Stations	2024-03-31_15,45,32_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,47,32_SubGHz.sub	Weather Stations	2024-03-31_16,47,32_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,38,45_SubGHz.sub	Weather Stations	2024-03-31_16,38,45_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,46,03_SubGHz.sub	Weather Stations	2024-03-31_15,46,03_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,46,34_SubGHz.sub	Weather Stations	2024-03-31_15,46,34_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,49,36_SubGHz.sub	Weather Stations	2024-03-31_16,49,36_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,54,50_SubGHz.sub	Weather Stations	2024-03-31_15,54,50_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,37,12_SubGHz.sub	Weather Stations	2024-03-31_16,37,12_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,45,01_SubGHz.sub	Weather Stations	2024-03-31_15,45,01_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,41,54_SubGHz.sub	Weather Stations	2024-03-31_15,41,54_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,44,29_SubGHz.sub	Weather Stations	2024-03-31_15,44,29_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/eFamily_Key_Finder/Tag1.sub	eFamily_Key_Finder	Tag1	433889000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/eFamily_Key_Finder/Tag3.sub	eFamily_Key_Finder	Tag3	433889000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/eFamily_Key_Finder/Tag2.sub	eFamily_Key_Finder	Tag2	433889000	FuriHalSubGhzPresetOok650Async	RAW
