folder	files	txt	ps1	py	sh	bat	js	c
RickRoll Max Vol (Basic)	1	1	0	0	0	0	0	0
RickRoll_Apple	1	1	0	0	0	0	0	0
RickRoll_ASCII	1	1	0	0	0	0	0	0
RickRoll_CMD_Win	1	1	0	0	0	0	0	0
RickRoll_Term_OSX	1	1	0	0	0	0	0	0
rickroll_terminal_payload	1	1	0	0	0	0	0	0
RickRoll_YT_OSX	1	1	0	0	0	0	0	0
RickRoll_YT_Win	1	1	0	0	0	0	0	0
rickroll-android	1	1	0	0	0	0	0	0
RickRoll-Contact-iOS	1	1	0	0	0	0	0	0
Rickroll+BSOD	1	0	0	0	0	0	0	0
RickUpdater	1	1	0	0	0	0	0	0
RR_ASCII_Win	1	1	0	0	0	0	0	0
SamDumpDucky	1	1	0	0	0	0	0	0
Same_File_Name_Prank	1	1	0	0	0	0	0	0
Screen-Shock	4	1	1	0	0	1	0	0
Screen-to-Discord	2	1	1	0	0	0	0	0
Screen-to-Telegram	2	1	1	0	0	0	0	0
Screenshare-Over-LAN	4	2	2	0	0	0	0	0
screenshot_exfil	1	1	0	0	0	0	0	0
Screenshoter	1	1	0	0	0	0	0	0
self_destruct	1	1	0	0	0	0	0	0
Send_Messages_In_Discord_Channel-Server	1	1	0	0	0	0	0	0
Send-WhatsApp-Messages-MacOS	1	1	0	0	0	0	0	0
SendEmailThroughThunderbird	1	1	0	0	0	0	0	0
SendMessagesInTeams	1	1	0	0	0	0	0	0
SendSignalMessages	1	1	0	0	0	0	0	0
SendTelegramMessages_Linux	1	1	0	0	0	0	0	0
Set_An_Arbitrary_And_Persistent_Tor_Circuit	1	1	0	0	0	0	0	0
Set_An_Arbitrary_DNS-IPv4_version	1	1	0	0	0	0	0	0
Set_Tor_Bridge_In_Windows	1	1	0	0	0	0	0	0
Set_VSCode_theme_light	1	1	0	0	0	0	0	0
SetArbitraryVPN_Linux	1	1	0	0	0	0	0	0
Shortcut-Spam	2	1	1	0	0	0	0	0
Show_Saved_Passwords	1	1	0	0	0	0	0	0
Show_Saved_Passwords_UPDATED	1	1	0	0	0	0	0	0
Show_WiFi_Passwords	1	1	0	0	0	0	0	0
silent_rickroll	1	1	0	0	0	0	0	0
Simple_PSH_Wallpaper_Changer	1	1	0	0	0	0	0	0
Simple_User_Password_Grabber	1	1	0	0	0	0	0	0
Social-Search-GUI	2	1	1	0	0	0	0	0
SoundChangeDuck	1	1	0	0	0	0	0	0
SpamRickrollPayload	1	1	0	0	0	0	0	0
Speech-to-Discord	2	1	1	0	0	0	0	0
Spotify-Spy	2	1	1	0	0	0	0	0
Starting_a_PowerShell_with_administrator_permissions_in_Windows	1	1	0	0	0	0	0	0
Stop_A_Single_Process_In_Windows	1	1	0	0	0	0	0	0
Storage Activity	2	2	0	0	0	0	0	0
sudoSnatch	1	1	0	0	0	0	0	0
System-Stealer	1	1	0	0	0	0	0	0
Tabs-spam	1	1	0	0	0	0	0	0
Talking_Duck	1	1	0	0	0	0	0	0
Telegram	2	2	0	0	0	0	0	0
Telegram_Persistent_Connection_Linux	2	1	0	1	0	0	0	0
Telegram-Infostealer	2	1	1	0	0	0	0	0
Telegram-Keylogger	1	1	0	0	0	0	0	0
termBomb	1	1	0	0	0	0	0	0
TerminalRickRoll	2	2	0	0	0	0	0	0
Tests	1	1	0	0	0	0	0	0
Text2Speech	1	1	0	0	0	0	0	0
the_f_bomb	1	1	0	0	0	0	0	0
The_Matrix_Wake_Up	1	1	0	0	0	0	0	0
The_Matrix-Wake_Up	1	1	0	0	0	0	0	0
The_Mouse_Moves_By_Itself	2	1	0	1	0	0	0	0
