path	category	name	device_type	uid
BruceRFID/Amiibo/Super_Smash_Bros/Marth.nfc	Amiibo	Marth	NTAG215	04 C4 D3 9B 32 98 3C
BruceRFID/Amiibo/Super_Smash_Bros/Zelda.nfc	Amiibo	Zelda	NTAG215	04 20 51 FD CA 9A 3D
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_39_-_Dark_Pit.nfc	Amiibo	[SSB]_39_-_Dark_Pit	NTAG215	04 2F 22 03 8E 7B 0A
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_84_-_Hero.nfc	Amiibo	[SSB]_84_-_Hero	NTAG215	04 9C 28 5C 84 C7 B4
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_66_-_Piranha_Plant.nfc	Amiibo	[SSB]_66_-_Piranha_Plant	NTAG215	04 95 00 34 B8 86 1C
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_56_-_Ryu.nfc	Amiibo	[SSB]_56_-_Ryu	NTAG215	04 C9 BB 4B 85 11 95
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_05_-_Link.nfc	Amiibo	[SSB]_05_-_Link	NTAG215	04 E7 07 15 67 D0 5A
BruceRFID/Amiibo/Super_Smash_Bros/Cloud_Player_2.nfc	Amiibo	Cloud_Player_2	NTAG215	04 06 27 AD DA B9 4C
BruceRFID/Amiibo/Super_Smash_Bros/ROB_NES.nfc	Amiibo	ROB_NES	NTAG215	04 F3 64 1B 3A 03 49
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_68_-_Ice_Climbers.nfc	Amiibo	[SSB]_68_-_Ice_Climbers	NTAG215	04 95 D5 70 AE B8 B6
BruceRFID/Amiibo/Super_Smash_Bros/Wario.nfc	Amiibo	Wario	NTAG215	04 8B C6 C1 6A 6F 40
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_27S_-_Mega_Man_(Gold_Edition).nfc	Amiibo	[SSB]_27S_-_Mega_Man_(Gold_Edition)	NTAG215	04 10 6A 6D CC 61 9A
BruceRFID/Amiibo/Super_Smash_Bros/Lucas.nfc	Amiibo	Lucas	NTAG215	04 08 21 A5 32 12 4A
BruceRFID/Amiibo/Super_Smash_Bros/Piranha_Plant.nfc	Amiibo	Piranha_Plant	NTAG215	04 6C 37 D7 F2 B6 5D
BruceRFID/Amiibo/Super_Smash_Bros/Mewtwo.nfc	Amiibo	Mewtwo	NTAG215	04 31 BF 02 9A 55 49
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_89_-_Steve.nfc	Amiibo	[SSB]_89_-_Steve	NTAG215	04 BD E8 72 45 37 E6
BruceRFID/Amiibo/Super_Smash_Bros/Kirby.nfc	Amiibo	Kirby	NTAG215	04 2A F3 55 EA 9A 3D
BruceRFID/Amiibo/Super_Smash_Bros/Ridley.nfc	Amiibo	Ridley	NTAG215	04 EB 10 77 02 5D 5D
BruceRFID/Amiibo/Super_Smash_Bros/Incineroar.nfc	Amiibo	Incineroar	NTAG215	04 F3 B4 CB 3A D9 64
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_03_-_Yoshi.nfc	Amiibo	[SSB]_03_-_Yoshi	NTAG215	04 F1 4D 07 B0 0E 34
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_75_-_Snake.nfc	Amiibo	[SSB]_75_-_Snake	NTAG215	04 BF D0 26 60 FD A8
BruceRFID/Amiibo/Super_Smash_Bros/Corrin_Player_2.nfc	Amiibo	Corrin_Player_2	NTAG215	04 35 98 21 72 5F 57
